AAA,AAB,ABA,ABB,ACA,ADA,ADB,ADC,ADD,AEA,AEB,AEC,AED,AFA,BAA,BAB,BAC,BBA,BCA,BCB,BCC,BDA,BDB,BDC,BDD,BDE,BDF,BEA,BEB,BEC,BED,BEE,BEF,BEG,BEH,CAA,CAB,CAC,CBA,CBB,CBC,CBD,CCA,CCB,CCC,CDA,CDB,DAA,DAB,DAC,DBA,DBB,DBC,DCA,DCB,DCC,DCD,DDA,DDB,EAA,EAB,EAC,EBA,ECA,FAA,FBA,FBB,FCA,FCB,GAA,GAB,GAC,GBA,GBB,GBC,GBD
3749.420009,1234.153504,1332.659538,4014.959641,3571.298778,282.6135487,277.2580087,604.1673479,312.5169035,610.2297875,614.7861012,125.776567,235.6109064,612.447811,2022.722563,1393.359125,438.5908946,178.0434271,493.3065726,630.398434,1019.051086,360.1828535,211.7396292,706.8996667,17.346197,82.5221266,25.132756,334.193646,23.9569578,1661.283807,435.4532703,96.8998666,116.6302986,149.8148883,24.5760727,2173.219303,2420.487912,1840.926914,231.4255382,173.0543456,301.4623199,126.0118687,203.5572567,387.795982,497.2963544,194.0969465,110.2172158,1460.011313,18.8435933,18.9648622,555.501031,254.9663565,93.9393233,181.2093048,173.2869466,62.6477689,170.2058148,220.934673,308.0490278,1482.385647,316.9559499,768.8071698,263.5703417,304.1467502,847.9735793,228.702591,531.5900215,195.5124261,46.9571556,46.8480279,2.584923,21.1276027,22.6722637,19.7768704,9.1651715,10.2899071
1691.664436,245.5651752,610.9398317,909.9810604,1066.88277,73.1086802,160.2386891,114.5289827,90.9816888,150.8557298,174.9908081,51.9434112,79.8002719,471.262833,1448.680458,312.8606215,139.2212787,50.9674105,142.7098108,243.5050688,198.5472636,130.6898229,40.399212,110.2670016,154.161427,83.5063411,5.6515668,166.5628434,6.0839842,342.7058871,85.8036448,22.7025176,127.140201,31.77922,13.9023649,652.7402921,1302.904782,477.6680521,217.8421382,72.7398617,109.3018675,181.1290919,102.8429584,218.7600065,181.129566,89.0867849,8.2860561,492.1038906,32.7582725,0,110.7026355,219.8787485,12.9585992,27.3349697,51.9487529,27.6295605,72.0898504,154.3720916,122.7049126,850.6717434,95.3859321,370.5312305,360.128887,155.082636,227.8027035,149.6244807,258.5694717,93.8828624,28.0230326,44.4561755,5.6873909,11.8155039,1.1998002,4.7060874,5.2964594,0.5228986
1878.094277,248.1979957,497.9122262,1199.225593,1179.847256,155.6462828,191.6963671,277.4745567,139.3069067,337.2206815,376.7276975,114.009915,105.5547847,430.1988155,1393.474038,225.4974793,115.975191,76.3029024,185.4988916,283.0451146,185.9099405,312.5318273,168.6542449,243.1889093,43.5923377,95.1412301,24.8966086,177.8750516,23.0709763,438.0151192,112.950383,72.9905734,105.2135775,72.7993169,4.4379838,918.0142488,1588.125224,731.9656484,122.2431646,70.0915062,171.340926,122.7493321,41.1299108,212.7923545,291.9296227,314.5789221,132.7158029,834.7616069,20.3786571,3.5495909,97.6053326,159.1337668,36.837177,48.3948448,48.0034393,15.6783218,46.1145345,53.277905,161.4688221,742.7215505,82.3087076,721.5629645,87.3038868,235.7659859,520.9497698,70.0190838,172.2055068,114.0671937,28.9692089,204.1274031,17.2472617,32.8530187,3.9733555,0.8894534,17.3951959,0
2218.486489,409.4939937,1608.119556,2067.473509,1092.24481,190.0935525,328.2503924,332.2069153,176.1034335,642.2483624,461.0410138,427.407691,176.765446,502.4044721,1260.153051,195.2796792,277.009419,102.7061267,371.4416131,423.150258,124.6775344,234.7510796,91.7866394,421.8077024,105.6865181,115.0466823,42.9498261,421.1132644,51.4278542,544.3692258,133.2604908,59.8642843,81.0444017,137.2131405,51.309828,1075.577447,1091.81151,935.4575157,212.7770157,84.3795755,193.6754727,283.4388436,246.4967769,142.2314079,354.5963272,219.8004398,136.679541,844.2230851,24.0203289,20.2839768,125.0756724,158.5089722,2.9868437,54.1485414,150.0689593,40.3381138,99.3457866,159.2612894,187.3358083,706.6644192,271.2217396,584.0353964,116.8164118,301.8255948,388.4302041,114.6099123,156.6030608,135.0674043,42.5672322,148.2086694,25.4979046,5.355521,0,15.282432,42.4218677,13.2700932
2162.827477,232.0283903,543.0018907,1076.512403,931.9206141,203.5765538,264.5472931,233.8746561,354.7938628,355.7101306,395.4225306,233.0785403,148.2597135,338.3174728,1451.256623,183.1389775,129.4682989,74.8040701,259.0818345,163.807143,112.83426,138.0748996,86.5383288,314.3594099,32.0326899,72.4789038,51.5103971,170.4063795,44.2569184,235.2178355,121.325453,25.4121525,59.0883186,42.1907673,68.073809,619.891028,940.6056172,694.6984909,394.8773656,216.0407484,118.3859567,129.0808882,135.4015386,143.797503,404.1646472,245.8561711,181.6147587,554.5634123,67.7066336,131.3659772,94.1874079,105.8432242,10.4536679,34.8792904,56.3411212,49.0622033,130.652007,64.3879663,103.4866495,721.3413698,232.3071626,351.2367785,1166.079894,148.2029784,246.0792039,49.3737219,179.8079212,59.26495,16.8512615,120.9264179,66.9022396,26.25086,6.3000167,22.8151197,96.5897,0.7342889
1748.31638,190.9731598,507.1174519,1322.243551,442.2712818,149.6559209,169.3350134,280.3352233,327.9593376,243.2755606,204.5592036,97.0082974,92.926227,236.2944046,1401.200614,210.6360279,92.3023524,40.485531,128.7647986,87.3441066,156.8385519,124.8390207,150.7492025,209.2281236,10.092458,4.4144662,4.0978928,73.7866164,54.9963481,175.0400061,220.8874746,43.630584,88.4470843,56.3662406,12.1878704,959.6408132,937.9476929,531.056573,371.5466391,99.346704,233.3536453,94.4630994,149.6899869,364.3778377,328.8395934,329.3517376,496.246654,416.3440965,66.2280664,0,62.5785972,118.2575604,0,67.8097794,78.2588862,32.063459,221.8461657,85.2699047,62.5831345,726.9230247,140.4949161,284.1648989,188.0482097,107.6510018,241.7418435,81.836602,140.2297474,129.7874308,10.4441965,239.6910135,157.4132513,251.2029441,21.0703755,54.3434334,75.9758379,5.0565982
2330.849185,286.0510025,559.5441471,1124.454777,692.9377794,607.5272207,164.0124104,220.7850106,108.761177,391.0896358,236.4064048,157.5834765,267.8435548,370.5544836,1514.254252,203.5741302,130.0969404,52.9397128,214.7092891,207.7676959,23.1768756,132.7279011,208.1951493,356.9772976,55.2786589,42.3599987,10.2139207,192.2145211,28.7040482,229.1487642,93.564065,51.4303005,101.4534389,90.2349948,0,1471.933544,1249.822847,1079.829281,338.5380981,306.8858637,269.4897782,194.9270378,43.1936971,159.0578205,599.6461264,290.1584753,216.7807879,888.6878437,22.4280428,22.8499571,112.0399199,162.1441821,9.2391875,49.996371,45.1701758,6.8343449,282.2429901,100.1139932,30.6322371,1030.194732,507.0896115,333.5689669,665.7924719,365.0149616,270.9054088,24.5994163,65.2088648,57.219607,5.725622,495.278329,40.1174767,146.0697286,37.2320181,67.1849717,243.9369138,37.8811376
2168.921686,244.2949078,408.0017914,938.4855885,620.7997963,570.2506152,107.3831653,317.9833968,297.347399,325.1961468,320.9770989,153.6069698,127.7984432,379.3543192,1327.333069,138.7303816,122.5762263,38.4647688,116.4106036,178.3962263,76.8784647,52.2099496,48.9592968,483.0097275,23.9382149,44.1778413,35.8803991,206.3556865,45.0985188,238.4027301,44.8147729,63.5282289,43.5662545,74.7380128,22.3797499,1278.237185,1227.568673,855.7021772,272.4854707,68.4736294,280.4849756,216.81333,198.0707166,766.9100816,1196.795539,277.2073252,496.8330052,620.7131406,15.7154698,3.1095561,63.6907109,27.4340349,25.6826767,22.3209371,59.8913175,35.009526,80.1951494,101.5265286,145.8097373,922.3573661,374.5186524,360.2029386,507.2196146,225.7169425,105.0440462,41.9851325,102.0622861,41.2851578,25.4558224,748.347096,978.0081707,97.184417,70.1176335,44.3314446,110.1938413,41.6573196
1784.326696,57.5195702,512.4792484,1173.927564,614.3152578,218.0629469,74.1866386,373.5785426,268.9904814,477.8386674,363.110991,67.3347667,125.984175,471.3470581,1579.915321,104.5588456,123.1781966,51.7603923,217.6164222,226.3388517,90.6576908,104.3362219,170.3601683,287.050285,33.2263832,44.3394186,2.8233053,186.5131445,17.207052,288.4228856,85.0712275,31.7653439,71.2150225,67.6161487,18.9457581,1846.50842,1227.108044,1143.313445,322.8306836,318.9420027,242.332488,396.6066985,237.0939586,260.8830675,1428.576013,381.6707417,452.5039551,663.6234243,35.3222982,12.420503,61.2216024,27.5704898,11.0868111,55.6043415,75.99803,16.4284934,276.2656694,117.8376085,57.8833282,834.7340758,879.9811571,333.8123299,403.658348,415.4525125,176.9444777,47.7931581,55.8012843,74.9252803,16.6199686,306.3912283,39.7417997,84.7843091,27.3287831,67.5045004,115.4456853,7.1953237
2191.071568,210.0948708,480.7365956,2254.746434,938.6447979,181.9098988,262.9720849,287.0165367,173.5679433,611.7293028,257.8474382,382.3350251,250.9638069,528.6190811,1655.825566,275.2255581,74.6296389,79.7452925,185.0080578,160.4197955,135.6655255,183.4348475,78.4953978,157.3262719,50.5139503,36.4794986,37.3086352,210.5109854,9.410005,449.2864765,198.4705564,33.4668015,121.6511094,147.2510035,46.0883281,1168.144707,1305.890978,987.0324278,435.3817696,97.3828339,156.8350857,493.6813561,387.4615781,190.6838407,711.9685961,234.4004308,351.753798,480.2395633,55.166582,13.4842817,86.4709595,139.6978187,11.914581,133.2223334,155.7424512,38.2788516,423.5264241,103.9675605,119.0319512,1124.688959,481.7075057,647.1588571,796.7364935,387.6853202,251.9285461,56.5033482,188.4178933,104.626913,34.3411074,417.202144,36.6958869,71.0994607,32.7916471,101.4651762,436.2280284,40.2986904
