"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"result.1",1,96,43719.8288929931,19200.7496518944,21169.747063957,25172.3361766475,19504.2484089127,19085.4336896478,24297.6242074327,21836.3935277487,24048.9951439137,25541.3344621129,20967.8884316108,21727.5397489051
"result.2",2,96,15011.2541445853,5929.39428830893,6827.14483871217,8478.15219067933,5956.95421105461,5562.61413823735,7144.93440683564,6098.20884702023,6565.44446215243,7968.71145543413,6134.61766341485,7045.30335722745
"result.3",3,96,10075.6740114526,3829.994421087,4431.67289388326,4999.83792892873,3684.85811771876,3528.57818535733,3960.16204857501,3460.36896287151,3546.17264386931,4090.95088802039,4033.81597532362,4196.26659343058
"result.4",4,96,10135.3403314062,4205.22691126675,4478.93156247778,5690.40498950817,4938.27660723696,5209.96969062353,6972.21968364941,7237.222253124,8303.09015643875,7520.7057066711,5693.43995836189,5282.01953789141
"result.5",5,96,3454.21112639126,1371.46157533884,1593.62111419469,2002.69457127614,1533.95892206981,1222.73229391375,1749.54266496014,1283.61816001512,1411.60371594049,1834.1480191653,1578.93372161612,1365.34868109567
"result.6",6,96,3852.2275074779,1542.43461173604,2107.93858327447,2524.22000417223,1835.2432416297,2171.33736819133,2531.65418496378,2346.55573452002,2889.21964450237,2609.90479914239,2332.86586795905,2348.05270891047
"result.7",7,96,1641.00969042238,940.997070868685,989.921276027261,883.975471646225,692.220198624884,504.37251787743,478.135726364252,373.256425019151,382.031803404199,569.65407933116,732.505042831854,739.863638982982
"result.8",8,96,316.99868512467,242.863806709225,273.058692859619,395.982886089786,577.782028395462,563.220007712886,1054.58875917381,978.576290249131,765.748134009326,626.005579126591,384.608207470086,284.944871220547
"result.9",9,96,3346.28925524846,1750.98776569711,1731.79457379396,2126.86884151946,1753.55682692103,1639.81215602379,2016.54485991099,1689.68731695864,1798.40163582743,2093.41541177554,1853.57040327865,2157.22533273992
"result.10",10,96,4933.68728397856,1601.16559158531,2172.76133598491,2464.99770048139,1519.55124769566,1466.58049470725,1845.82911013988,1776.96650937777,1659.641396434,2190.92971138675,1786.0003476916,1804.0007438603
"result.11",11,96,3070.21483877429,879.630721377673,951.611522785502,1138.86759571095,685.980369213645,507.528477265299,641.230354896021,519.184691069602,563.934737516554,901.537186734208,627.273930807778,872.040862573002
"result.12",12,96,1436.11087823956,551.946804262141,776.664739237499,1068.21981193653,789.987474260403,706.59091139263,1014.15347178702,984.117358591697,993.101798671489,962.958179891339,763.104280562815,766.327603639935
"result.13",13,96,1467.0568202693,825.662849519706,1091.42654652876,1224.53885747399,1040.57828319269,923.961541168511,1153.73738518861,937.823073727796,1150.648480735,1115.90584471032,986.881206851024,1221.23600012857
"result.14",14,96,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875
"result.15",15,96,4009.99496062419,1823.11320155987,2029.14313813027,2037.02064592868,1848.05381857266,1724.65878614849,1880.39734636066,1582.4058605767,1567.29706735628,1764.10591932848,1922.02228169385,1925.62159437937
"result.16",16,96,57.5489404029884,51.4298402179874,88.2206520363327,166.497869501084,67.3692959155642,53.4498091349481,64.6657228458671,50.5846863321345,53.3757129809499,45.2543209437223,68.4487292396206,47.2086418669097
"result.17",17,96,1827.08150399959,576.011079519291,552.184047343154,644.653695719316,349.586282525186,416.934028319329,400.746488628661,315.790853352394,397.89069275588,499.436200864061,471.680875494452,501.437249528951
"result.18",18,96,1358.4928566427,498.757174676961,768.041548704278,863.431896261676,700.25212464027,533.440654082754,739.221110382599,728.200165234582,671.858109142248,635.278220421557,659.585543291518,673.000809249418
"result.19",19,96,2382.14062498792,863.386014700968,1135.33101300023,1234.46953856392,797.294551496581,853.926011701459,857.75487323726,719.727887626263,760.831873170536,923.77392214216,856.907322956266,1004.56318988869
"result.20",20,96,7396.46127292941,2843.74780990094,3356.63937411168,3594.29362224057,3139.59583336494,2965.47978481155,3898.28091370695,3587.08279173484,4636.92779369064,4023.59689006012,3874.37816437811,3267.02107874229
"result.21",21,96,1165.49811090075,668.108705968939,637.770308567777,877.855154380434,738.377499770283,693.86374890517,1342.52352476873,1021.17080777815,1181.51187279888,1041.99348426468,773.26058676044,817.326833701208
"result.22",22,96,1143.03460324205,697.459621097549,600.472134209914,895.589909874689,865.816233890781,1099.49504102748,1447.92144965749,1648.65459966074,1768.86142872187,1583.70611082157,1010.97074648608,961.29042660905
"result.23",23,96,631.040440934367,435.178253122157,447.6310116894,543.067091801817,512.286465789424,522.583501177813,537.558069477978,607.695356009922,563.129761947385,549.336233687371,450.661580695969,548.645881632747
"result.24",24,96,1450.46058944055,581.611923804592,734.495534690255,766.758750748084,674.625450141502,498.438599420016,827.007449915382,631.47710964955,702.676186744369,642.08465741772,796.533550567691,696.471419174214
"result.25",25,96,750.721776294588,326.561021495756,254.21799318054,416.197259810133,230.998661260228,204.083309389506,255.809085999272,135.134269058052,174.170103965741,293.323393019898,198.641855721784,236.295792172118
"result.26",26,96,692.280031371774,220.055332895905,211.095978541647,432.405038128425,373.904135948158,308.736242764491,375.131269000287,273.053657424953,400.35759593692,548.865784641045,348.113321990109,225.155735137632
"result.27",27,96,643.073185070999,217.170831563296,317.811687004415,357.925010505102,357.52460460211,230.865127791124,264.622262750439,219.251386358735,209.882361805476,325.368613769234,293.833837393687,258.229541287341
"result.28",28,96,3428.66553472794,1190.2475770822,1691.66716927653,2074.37792786191,1428.15485148023,1657.20989329741,1781.70789844248,1711.7740687251,1893.21533536683,1882.97311294505,1640.95450421469,1944.28982593104
"result.29",29,96,203.745393769865,231.946150272301,213.484474157334,244.434413772356,227.198325245682,334.675241145923,516.022870067394,459.651369989087,544.1502571862,401.851023326658,381.908633336386,240.388317738718
"result.30",30,96,267.467922635417,267.467922635417,267.467922635417,267.467922635417,267.467922635417,267.467922635417,267.467922635417,267.467922635417,267.467922635417,267.467922635417,267.467922635417,267.467922635417
"result.31",31,96,802.748362875011,413.060217700389,417.58915838782,366.189253548475,338.392620672294,249.815433505217,202.86522702456,178.602824405341,181.43442123328,252.495457001014,314.914959820968,334.417750356642
"result.32",32,96,534.478793138672,310.060171416938,382.904617116142,262.183308297764,188.439307098736,182.137636937415,138.055660761816,139.765437726048,124.015343085698,189.687415305964,227.525565199442,206.860333413023
"result.33",33,96,225.198525240464,181.144265434963,172.686293802443,166.836624096834,137.497199502104,109.257940701824,194.640987747211,109.885452102223,114.704548211611,98.2234547645579,113.676494888874,137.989391188194
"result.34",34,96,277.155870664454,215.422083187701,241.065897296777,299.504260038928,398.087129014554,420.785961803673,688.575726967657,654.940018406604,443.053511349973,314.739634931987,266.963349246748,304.427122983345
"result.35",35,96,104.801668251341,69.1082630462132,65.7625375422437,131.013213856976,172.964967521565,155.816370714324,332.096397851984,269.373697614828,259.205932610176,235.862724356236,114.593352933185,64.8436142913771
"result.36",36,96,2629.77573749161,1401.17844177855,1512.04057735868,1757.53116684075,1544.38302783607,1415.19815060784,1779.80602623383,1463.8234686852,1618.03496517415,1863.95224637772,1616.10791013036,1788.65650944497
"result.37",37,96,825.017649328208,313.448848599486,236.866670175174,398.895015860723,197.758213546758,248.234366362951,237.300833934016,257.155137299042,226.148455836316,255.851228924989,248.244375386454,348.210653421139
"result.38",38,96,1329.71652643447,559.1492751632,541.069481032717,873.241607190193,536.500772666515,490.157088723042,572.648435140146,540.48550972659,515.274187438346,672.573874920619,546.053172020836,606.173353986771
"result.39",39,96,3645.7535430714,1031.38091017217,1475.57320613092,1700.98731541372,965.558021942518,1029.00912472914,1271.95921109721,1212.98641133894,1157.83794066597,1530.32576994484,1273.49636854821,1211.06186525772
"result.40",40,96,3070.21483877429,879.630721377673,951.611522785502,1138.86759571095,685.980369213645,507.528477265299,641.230354896021,519.184691069602,563.934737516554,901.537186734208,627.273930807778,872.040862573002
"result.41",41,96,302.413464391036,74.6439842572549,115.931711617195,111.442116715856,106.964256812678,106.054302692218,426.507293995123,545.541884925294,303.013934139047,324.977261107356,127.644448777149,188.861561833265
"result.42",42,96,196.894664856285,162.352789291325,192.763070722723,248.168307584135,202.638164612314,175.43348027825,168.432436407776,179.92518121332,158.747880705738,173.796180187799,225.173631840047,166.792303742355
"result.43",43,96,588.60110554491,180.960539157772,278.866473995596,324.187762659742,255.432198437075,223.120722947896,207.170009976416,195.305483800056,266.342080257998,250.711266300389,267.493419206131,287.060104673745
"result.44",44,96,199.290468999781,154.461476238882,194.134490070885,212.641550854048,168.009929577465,218.100092470506,227.094532501682,157.840394753975,214.334786861117,248.270109787858,172.665170150771,212.548160722138
"result.45",45,96,620.699757674319,392.936006311328,448.126648665506,454.215254686584,407.733246725492,396.874553247677,444.896279184016,403.078930021417,434.783202957667,404.182293857455,422.498516357915,484.750647324839
"result.46",46,96,532.308709486811,280.652954707732,458.092078068937,377.852402263314,352.490848524099,374.090985765062,393.665582244889,347.450053952136,375.429373820106,357.378847426734,357.450145053577,295.068100902235
"result.47",47,96,141.37614128125,141.37614128125,141.37614128125,141.37614128125,141.37614128125,141.37614128125,141.37614128125,141.37614128125,141.37614128125,141.37614128125,141.37614128125,141.37614128125
"result.48",48,96,149.487598635546,126.140650949553,125.102565636589,130.739848277583,119.965341388398,121.786709605081,136.753521698773,118.578934711988,124.910874878474,113.75372225037,116.451704785481,123.799511446263
"result.49",49,96,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875,464.14344356875
"result.50",50,96,2446.84877391124,1352.81962963397,1491.32269498188,1482.75686508747,1441.22242233748,1431.1182911688,1643.11401487678,1286.47780278457,1335.86723010989,1455.12849146982,1548.83078362956,1518.80452054003
"result.51",51,96,997.995006982042,307.135381100617,399.681200560106,309.598249481368,142.92845518248,182.515816343349,125.046994718725,190.302714525792,130.558340643508,153.133497167434,214.412188695068,285.645741621735
"result.52",52,96,579.975084169552,139.406886594732,203.070594403364,266.770943659878,187.144368633901,126.705999133162,179.028059299795,120.52984977118,121.484275132407,183.152126511937,167.357923424047,175.657187079361
"result.53",53,96,57.5489404029884,51.4298402179874,88.2206520363327,166.497869501084,67.3692959155642,53.4498091349481,64.6657228458671,50.5846863321345,53.3757129809499,45.2543209437223,68.4487292396206,47.2086418669097
"result.54",54,96,559.070568081247,191.172147366244,212.434093473853,176.779420523822,121.999059087247,132.003583707635,122.398615434881,100.160082647257,110.493691692743,118.993691390201,111.152486085052,102.886409715452
"result.55",55,96,648.896427639169,215.387240185021,198.406429254146,317.793337843789,160.305613423615,178.603300278752,179.807814002814,176.328803304153,195.725895695595,216.919528496455,180.248977659722,239.044961779789
"result.56",56,96,744.526316265244,217.252809021935,129.66534152766,222.637353350963,52.0599121213706,125.942180072147,121.041342870002,98.1917939851761,72.8561926341196,138.440190030606,110.015841354493,110.746087670586
"result.57",57,96,431.585293248347,162.230146031189,199.169295322627,235.18697150015,162.084681485078,163.549005628093,121.294898465366,102.138887176781,158.783506418964,141.35895560623,142.553520628402,167.528015059832
"result.58",58,96,126.176550146973,74.3026471158009,117.186781415715,109.979361280043,92.2217002953522,84.7073222502061,90.287302471512,77.7395368043242,67.0013194692961,86.3275710610233,112.444117585198,129.716074502335
"result.59",59,96,531.742608461189,142.974412350841,260.520239030437,331.086513495358,275.752071241865,208.332495595137,369.602978565616,421.769184103591,367.111840107412,213.035999972979,229.234525405545,202.706835954741
"result.60",60,96,59.9400575822917,59.9400575822917,59.9400575822917,59.9400575822917,59.9400575822917,59.9400575822917,59.9400575822917,59.9400575822917,59.9400575822917,59.9400575822917,59.9400575822917,59.9400575822917
"result.61",61,96,71.7206963599085,60.3129080659493,77.8871505607688,74.5828830035778,47.8836658070999,63.6029576750387,64.5651143021316,29.9171176549768,30.7981852252178,61.7031284345164,56.7353473676849,44.1322194659696
"result.62",62,96,29.903811278125,29.903811278125,29.903811278125,29.903811278125,29.903811278125,29.903811278125,29.903811278125,29.903811278125,29.903811278125,29.903811278125,29.903811278125,29.903811278125
"result.63",63,96,232.911364893423,145.95717713837,175.243271083178,195.983222018806,172.290529179881,192.695069685485,170.929527854544,173.114690916062,169.351501073293,182.697047622907,170.576220100713,179.091197030467
"result.64",64,96,27.67564836875,27.67564836875,27.67564836875,27.67564836875,27.67564836875,27.67564836875,27.67564836875,27.67564836875,27.67564836875,27.67564836875,27.67564836875,27.67564836875
"result.65",65,96,1350.81624631831,350.614413080324,453.507121288312,424.726334324022,225.416454057992,219.291161550129,238.302974092345,170.886137408581,206.937236805261,256.862630665288,241.144667904355,338.416838218094
"result.66",66,96,181.271342665952,140.776728855515,138.158003011828,210.517958800239,148.628930420993,298.88271389543,189.977234324494,119.913435163283,162.182274690626,157.620366177709,163.186192022399,132.967193748652
"result.67",67,96,53.4205482021406,46.1137915518025,45.1641949783927,47.4869593272771,46.264884198899,39.1704659372658,59.3991445846003,36.648962086106,38.6753569350005,36.9429833100379,38.1472564353438,41.7749304355709
"result.68",68,96,96.7189447145834,96.7189447145834,96.7189447145834,96.7189447145834,96.7189447145834,96.7189447145834,96.7189447145834,96.7189447145834,96.7189447145834,96.7189447145834,96.7189447145834,96.7189447145834
"result.69",69,96,152.497750389834,74.6068440963194,75.9922550476024,128.441762905016,76.6398964583476,61.5746339700869,76.9664850737018,65.4848457734212,77.3065159430073,78.106274855066,70.8449947556792,91.7910594419344
"result.70",70,96,41.9711592123532,39.8191232905846,38.341376454753,33.2829334160883,38.6632593481477,37.2111454919544,34.1440110742,30.753658109175,32.8469514772372,37.9808216735469,40.8628801060767,38.6313150566605
"result.71",71,96,2541.87824960052,1032.18281427847,1308.45685095926,1192.592612287,995.434199716771,1060.05781520575,1347.37382631989,1417.31352010312,1994.90697461591,1491.03461533397,1785.44479971811,1127.34494666365
"result.72",72,96,2519.41969690124,962.52531562981,1256.40839721125,1417.59926101608,1176.08476035884,1114.20255225128,1263.42271854457,1074.81412868777,1467.21635899553,1319.26580633128,1334.43325575291,1004.11887069347
"result.73",73,96,2141.95969746841,811.77597976631,831.705714617833,980.610092008683,795.329491351744,824.317497511237,1189.05041920345,1124.84122775418,1273.35611731338,1269.72083111724,1040.7966051646,963.931440337818
"result.74",74,96,432.885946019006,288.998513453345,253.258139678903,383.62561170392,300.667966313089,248.107343736865,408.298452219469,419.872141626508,486.708035012924,467.82145373443,276.006305422608,304.647883836869
"result.75",75,96,132.289258526853,155.377605285065,182.421861229554,153.300767178786,137.585834966284,145.976445728056,180.182834021522,131.47925975268,198.556754513239,169.809725052803,119.394316649998,121.905133909447
"result.76",76,96,359.26349776218,126.534539353123,130.613179609977,186.053746063413,153.105952095836,195.990944698183,244.002083195484,216.295316755839,265.540139770586,175.44926651463,208.142581520948,224.395130827513
"result.77",77,96,191.650230116667,191.650230116667,191.650230116667,191.650230116667,191.650230116667,191.650230116667,191.650230116667,191.650230116667,191.650230116667,191.650230116667,191.650230116667,191.650230116667
"result.78",78,96,362.246826161723,188.229762766685,188.229762766685,188.229762766685,188.229762766685,188.229762766685,188.229762766685,188.229762766685,188.229762766685,188.229762766685,188.229762766685,188.229762766685
"result.79",79,96,292.577313044476,223.708690325097,217.25001246175,228.908430834185,290.197383249017,269.616511730818,363.304493543659,337.206726890905,343.087246540195,331.618032420232,247.954117604164,234.488878024414
"result.80",80,96,526.659796963819,498.136332547505,334.157913164991,513.378788526376,567.174866544124,814.806865306757,1036.40317878351,975.847634062063,1006.72511296339,868.401895817879,596.483861438667,381.416249151486
"result.81",81,96,327.834751205208,327.834751205208,327.834751205208,327.834751205208,327.834751205208,327.834751205208,327.834751205208,327.834751205208,327.834751205208,327.834751205208,327.834751205208,327.834751205208
"result.82",82,96,221.809176372899,148.637280249322,133.710946060415,234.94795113667,237.433651600676,203.345321587794,258.241833325305,250.278345068207,254.455759843786,236.264603597862,207.828804904885,200.228383003023
"result.83",83,96,1287.28011782275,534.504802558531,693.599060858089,675.22805978039,599.979548097525,467.263243637769,691.375853188949,577.840071405732,629.017582240902,533.846823613328,711.409915679092,623.934433309219
"result.84",84,96,43.7896127184259,39.311710418266,39.311710418266,39.311710418266,39.311710418266,39.311710418266,39.311710418266,39.311710418266,39.311710418266,39.311710418266,39.311710418266,39.311710418266
"result.85",85,96,21.922000165625,21.922000165625,21.922000165625,21.922000165625,21.922000165625,21.922000165625,21.922000165625,21.922000165625,21.922000165625,21.922000165625,21.922000165625,21.922000165625
"result.86",86,96,279.979172102512,132.099718651512,127.55047093516,136.544038125188,103.587857854505,119.889099283316,108.830633886633,57.6268991572005,81.7789878902794,134.601390973744,106.598546554504,106.978210256857
